year,zip,onebr,twobr,threebr,fourbr,onehw,twohw,threehw,fourhw,city,county
2012,94111,1380,1630,2210,2740,26.54,31.35,42.5,52.69,San Francisco,San Francisco County
2012,94112,1360,1610,2180,2700,26.15,30.96,41.92,51.92,San Francisco,San Francisco County
2012,94114,1610,1910,2590,3210,30.96,36.73,49.81,61.73,San Francisco,San Francisco County
2012,94115,1450,1720,2330,2890,27.88,33.08,44.81,55.58,San Francisco,San Francisco County
2012,94116,1590,1880,2550,3160,30.58,36.15,49.04,60.77,San Francisco,San Francisco County
2012,94117,1510,1790,2430,3010,29.04,34.42,46.73,57.88,San Francisco,San Francisco County
2012,94118,1410,1670,2260,2800,27.12,32.12,43.46,53.85,San Francisco,San Francisco County
2012,94121,1410,1670,2260,2800,27.12,32.12,43.46,53.85,San Francisco,San Francisco County
2012,94122,1470,1740,2360,2920,28.27,33.46,45.38,56.15,San Francisco,San Francisco County
2012,94123,1760,2080,2820,3490,33.85,40,54.23,67.12,San Francisco,San Francisco County
2012,94124,1110,1320,1790,2220,21.35,25.38,34.42,42.69,San Francisco,San Francisco County
2012,94127,1900,2250,3050,3780,36.54,43.27,58.65,72.69,San Francisco,San Francisco County
2012,94128,1440,1710,2320,2870,27.69,32.88,44.62,55.19,San Francisco,San Mateo County
2012,94129,1380,1630,2210,2740,26.54,31.35,42.5,52.69,San Francisco,San Francisco County
2012,94130,1380,1630,2210,2740,26.54,31.35,42.5,52.69,San Francisco,San Francisco County
2012,94131,1490,1770,2400,2970,28.65,34.04,46.15,57.12,San Francisco,San Francisco County
2012,94132,1600,1890,2560,3170,30.77,36.35,49.23,60.96,San Francisco,San Francisco County
2012,94133,1350,1600,2170,2690,25.96,30.77,41.73,51.73,San Francisco,San Francisco County
2012,94134,1340,1590,2160,2670,25.77,30.58,41.54,51.35,San Francisco,San Francisco County
2012,94301,1850,2060,2920,3610,35.58,39.62,56.15,69.42,Palo Alto,Santa Clara County
2012,94303,1200,1420,1930,2380,23.08,27.31,37.12,45.77,Palo Alto,San Mateo County
2012,94304,1470,1630,2310,2860,28.27,31.35,44.42,55,Palo Alto,Santa Clara County
2012,94305,1240,1380,1960,2420,23.85,26.54,37.69,46.54,Stanford,Santa Clara County
2012,94306,1610,1790,2540,3140,30.96,34.42,48.85,60.38,Palo Alto,Santa Clara County
2012,94401,1380,1640,2220,2750,26.54,31.54,42.69,52.88,San Mateo,San Mateo County
2012,94402,1490,1770,2400,2970,28.65,34.04,46.15,57.12,San Mateo,San Mateo County
2012,94403,1570,1860,2520,3120,30.19,35.77,48.46,60,San Mateo,San Mateo County
2012,94404,1850,2190,2970,3680,35.58,42.12,57.12,70.77,San Mateo,San Mateo County
2012,94501,1250,1480,2010,2480,24.04,28.46,38.65,47.69,Alameda,Alameda County
2012,94502,1210,1430,1940,2400,23.27,27.5,37.31,46.15,Alameda,Alameda County
2012,94503,1130,1470,2030,2310,21.73,28.27,39.04,44.42,American Canyon,Napa County
2012,94506,1290,1530,2070,2570,24.81,29.42,39.81,49.42,Danville,Contra Costa County
2012,94507,1290,1530,2070,2570,24.81,29.42,39.81,49.42,Alamo,Contra Costa County
2012,94509,1160,1370,1860,2300,22.31,26.35,35.77,44.23,Antioch,Contra Costa County
2012,94510,1070,1230,1720,2120,20.58,23.65,33.08,40.77,Benicia,Solano County
