,year,zip,onebr,twobr,threebr,fourbr,onehw,twohw,threehw,fourhw,city,county_x,county_y,vlrhna,totalvl,percentvl,lowrhna,lowtotal,lowpercent,modrhna,modtotal,modpercent,aboverhna,abovetotal,abovepercent,totalrhna,totaltotal,totalpercent
119,2011,94588,1730,2030,2730,3190,33.27,39.04,52.5,61.35,Pleasanton,Alameda County,Alameda,716.0,182.0,25%,391.0,44.0,11%,407.0,18.0,4%,553.0,1148.0,208%,2067.0,1392.0,67%
120,2011,94589,1090,1410,1950,2220,20.96,27.12,37.5,42.69,Vallejo,Solano County,,,,,,,,,,,,,,,,
121,2011,94590,990,1140,1600,1970,19.04,21.92,30.77,37.88,Vallejo,Solano County,,,,,,,,,,,,,,,,
122,2011,94591,1200,1380,1930,2380,23.08,26.54,37.12,45.77,Vallejo,Solano County,,,,,,,,,,,,,,,,
123,2011,94592,1100,1260,1770,2180,21.15,24.23,34.04,41.92,Vallejo,Solano County,,,,,,,,,,,,,,,,
124,2011,94595,1380,1620,2180,2550,26.54,31.15,41.92,49.04,Walnut Creek,Contra Costa County,,,,,,,,,,,,,,,,
125,2011,94596,1260,1480,1990,2330,24.23,28.46,38.27,44.81,Walnut Creek,Contra Costa County,,,,,,,,,,,,,,,,
126,2011,94598,1490,1750,2350,2750,28.65,33.65,45.19,52.88,Walnut Creek,Contra Costa County,,,,,,,,,,,,,,,,
127,2011,94601,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Oakland,Alameda County,Alameda,2059.0,313.0,15%,2075.0,109.0,5%,2815.0,11.0,0%,7816.0,6649.0,85%,14765.0,7082.0,48%
128,2011,94602,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Oakland,Alameda County,Alameda,2059.0,313.0,15%,2075.0,109.0,5%,2815.0,11.0,0%,7816.0,6649.0,85%,14765.0,7082.0,48%
129,2011,94603,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Oakland,Alameda County,Alameda,2059.0,313.0,15%,2075.0,109.0,5%,2815.0,11.0,0%,7816.0,6649.0,85%,14765.0,7082.0,48%
130,2011,94605,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Oakland,Alameda County,Alameda,2059.0,313.0,15%,2075.0,109.0,5%,2815.0,11.0,0%,7816.0,6649.0,85%,14765.0,7082.0,48%
131,2011,94606,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Oakland,Alameda County,Alameda,2059.0,313.0,15%,2075.0,109.0,5%,2815.0,11.0,0%,7816.0,6649.0,85%,14765.0,7082.0,48%
132,2011,94607,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Oakland,Alameda County,Alameda,2059.0,313.0,15%,2075.0,109.0,5%,2815.0,11.0,0%,7816.0,6649.0,85%,14765.0,7082.0,48%
133,2011,94608,1280,1510,2030,2380,24.62,29.04,39.04,45.77,Emeryville,Alameda County,Alameda,276.0,81.0,29%,211.0,16.0,8%,259.0,14.0,5%,752.0,310.0,41%,1498.0,421.0,28%
134,2011,94609,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Oakland,Alameda County,Alameda,2059.0,313.0,15%,2075.0,109.0,5%,2815.0,11.0,0%,7816.0,6649.0,85%,14765.0,7082.0,48%
135,2011,94610,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Oakland,Alameda County,Alameda,2059.0,313.0,15%,2075.0,109.0,5%,2815.0,11.0,0%,7816.0,6649.0,85%,14765.0,7082.0,48%
136,2011,94611,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Oakland,Alameda County,Alameda,2059.0,313.0,15%,2075.0,109.0,5%,2815.0,11.0,0%,7816.0,6649.0,85%,14765.0,7082.0,48%
137,2011,94612,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Oakland,Alameda County,Alameda,2059.0,313.0,15%,2075.0,109.0,5%,2815.0,11.0,0%,7816.0,6649.0,85%,14765.0,7082.0,48%
138,2011,94618,1440,1690,2270,2660,27.69,32.5,43.65,51.15,Oakland,Alameda County,Alameda,2059.0,313.0,15%,2075.0,109.0,5%,2815.0,11.0,0%,7816.0,6649.0,85%,14765.0,7082.0,48%
139,2011,94619,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Oakland,Alameda County,Alameda,2059.0,313.0,15%,2075.0,109.0,5%,2815.0,11.0,0%,7816.0,6649.0,85%,14765.0,7082.0,48%
140,2011,94621,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Oakland,Alameda County,Alameda,2059.0,313.0,15%,2075.0,109.0,5%,2815.0,11.0,0%,7816.0,6649.0,85%,14765.0,7082.0,48%
141,2011,94702,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Berkeley,Alameda County,Alameda,532.0,89.0,17%,442.0,29.0,7%,584.0,2.0,0%,1401.0,817.0,58%,2959.0,937.0,32%
142,2011,94703,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Berkeley,Alameda County,Alameda,532.0,89.0,17%,442.0,29.0,7%,584.0,2.0,0%,1401.0,817.0,58%,2959.0,937.0,32%
143,2011,94704,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Berkeley,Alameda County,Alameda,532.0,89.0,17%,442.0,29.0,7%,584.0,2.0,0%,1401.0,817.0,58%,2959.0,937.0,32%
144,2011,94705,1190,1400,1880,2200,22.88,26.92,36.15,42.31,Berkeley,Alameda County,Alameda,532.0,89.0,17%,442.0,29.0,7%,584.0,2.0,0%,1401.0,817.0,58%,2959.0,937.0,32%
